scenario,period,portfolio_value_usd,portfolio_eal,avg_risk_score,max_risk_score,n_regions,portfolio_loss_ratio_pct,scenario_label
SSP1-2.6,2030,49219999999.999985,24583057554.759834,56.300000000000004,74.9,3,49.95,Sustainability
SSP1-2.6,2050,49219999999.999985,27533914634.285618,62.20000000000001,77.4,3,55.94,Sustainability
SSP1-2.6,2080,49219999999.999985,28698266027.906097,64.56666666666666,78.4,3,58.31,Sustainability
SSP2-4.5,2030,49219999999.999985,24864735202.709743,56.86666666666667,75.1,3,50.52,Middle of the Road
SSP2-4.5,2050,49219999999.999985,29984084217.939808,67.13333333333333,80.1,3,60.92,Middle of the Road
SSP2-4.5,2080,49219999999.999985,34323424749.90425,75.36666666666666,85.6,3,69.73,Middle of the Road
SSP5-8.5,2030,49219999999.999985,25214028990.87307,57.56666666666666,75.4,3,51.23,Fossil-Fuelled Development
SSP5-8.5,2050,49219999999.999985,32760191367.851944,72.46666666666667,83.7,3,66.56,Fossil-Fuelled Development
SSP5-8.5,2080,49219999999.999985,41696364715.12351,88.26666666666665,93.6,3,84.71,Fossil-Fuelled Development
historical,baseline,49219999999.999985,23987173754.771942,55.1,74.4,3,48.73,historical
